source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio
IND333504AAA,IND332713AAA,1,1.9230769230769231,75.0,39.0,43.7389,FTL,1.9290028798070424
IND334001AAB,IND334803AAA,2,1.8986105080330005,91.5,48.0,64.6074,FTL,1.9221455314547968
IND334001AAC,IND334803AAA,3,1.6222222222222222,73.0,45.0,60.5845,FTL,1.8274011002487822
IND334001AAC,IND341001AAC,1,1.619047619047619,136.0,84.0,115.4409,FTL,1.8855701220885703
IND334803AAA,IND341001AAC,3,1.975,79.0,37.0,53.403400000000005,FTL,1.9449936928413751
IND335001AAA,IND125104AAA,6,1.824264705882353,149.5,80.0,109.62905,FTL,1.8771276225722076
IND335051AAA,IND335513AAA,5,2.118811881188119,214.0,100.0,110.4233,Carting,2.1344823006890854
IND335501AAA,IND331701AAA,1,1.7142857142857142,36.0,21.0,23.5577,FTL,1.899175564265441
IND335513AAA,IND335001AAA,6,1.790516206482593,89.5,50.0,62.9906,FTL,1.8602533728723276
IND335513AAA,IND335803AAA,4,1.293103448275862,37.5,29.5,32.02605,Carting,1.8057659694742791
IND335513AAA,IND335804AAD,1,1.5,81.0,54.0,56.9831,Carting,2.0550351288056206
IND335524AAA,IND335523AAB,1,1.148936170212766,54.0,47.0,41.4874,FTL,1.8184113436835914
IND335701AAA,IND335051AAA,2,1.8333333333333335,88.0,48.0,51.62835,Carting,2.0689890710382515
IND335703AAA,IND335701AAA,4,1.2633101851851851,37.0,32.0,34.84875,Carting,1.7938486642380085
IND335803AAA,IND335804AAD,2,1.7008695652173913,41.0,24.0,24.85255,Carting,2.035873129009266
IND335804AAD,IND335701AAA,2,1.1851398244539701,83.0,70.0,76.45384999999999,Carting,1.9069406938184106
IND335804AAD,IND335703AAA,4,1.1578947368421053,44.0,38.0,41.35525,Carting,1.7516824849007766
IND341001AAC,IND341030AAA,1,1.4871794871794872,58.0,39.0,43.049800000000005,FTL,1.8667318175359802
IND341001AAC,IND341303AAA,4,1.5681372549019608,132.5,84.0,98.33615,FTL,1.7852492255180217
IND341030AAA,IND341303AAA,2,1.4855915065722953,66.0,44.5,54.9709,FTL,1.8188907810896207
IND341303AAA,IND341306AAA,8,1.6733333333333333,42.0,24.5,34.0289,FTL,1.7833292787313602
IND341306AAA,IND302014AAA,3,2.3529411764705883,400.0,171.0,217.0141,FTL,2.070974084998238
IND341503AAB,IND341510AAB,7,2.4545454545454546,81.0,33.0,47.3069,FTL,2.21244318595312
IND341505AAA,IND341503AAB,6,2.007459505541347,137.5,68.0,80.62245000000001,FTL,1.9687250224017045
IND341505AAA,IND341510AAB,1,2.0093457943925235,215.0,107.0,128.96460000000002,FTL,1.9413270042806996
IND341510AAB,IND305001AAC,8,2.3363636363636364,128.5,55.0,73.66604999999998,FTL,2.162203737605819
IND341512AAA,IND341505AAA,3,1.826086956521739,42.0,23.0,24.384,FTL,1.8953560116819546
IND342005AAD,IND342601AAA,6,2.1734693877551017,106.5,49.5,60.78105,FTL,2.0517299635085817
IND342005AAD,IND342902A1B,1,1.6808510638297873,158.0,94.0,103.1401,FTL,1.89439918562888
IND342005AAD,IND342902AAA,5,2.202127659574468,207.0,94.0,102.7041,FTL,2.0536892303131555
IND342005AAD,IND344022AAB,3,1.8933333333333333,142.0,75.0,105.9706,FTL,1.9177714706191524
IND342301AAA,IND342005AAD,10,5.63099778543307,718.0,127.0,166.2538,FTL,4.243120068118943
IND342601AAA,IND342902A1B,3,1.9534883720930232,84.0,43.0,41.5361,FTL,1.9378231502057162
